%%% This file is referred to by many programs directly.
%%  Please only change name and location if you really
%%  know what you are doing



%
% File to translate internal systematic names, eg "BTAGH" to names that can be printed in tables
% comments are marked with "%" , LateX is allowed

% format is the following:
% <technical name>, <real name>, <other stuff >, ...

[syst names]

BTAGH,	 	b-tag
BTAGL,   	b-mistag
BTAG_TOT,       b-tagging
ELECES, 	Electron energy scale
ELECESR, 	Electron energy
ELECER, 	Electron energy resolution
ELECER_PHI, 	Electron energy resolution - phi
ELECER_RHO, 	Electron energy resolution - rho
ELECSF,		Electron ID / isolation
ELECSF_ALL,	Electron ID / isolation
JER,		Jet energy resolution
JES,		Jet energy scale
MUONES,		Muon energy scale
MUONSF,		Muon ID / isolation
MUONSF_ALL,	Muon ID / isolation
PU,			Pile-up
TOPPT,		Top $p_{T}$
TRIGGER,	Trigger
TRIGGERSF,	Trigger
BG,			Backgrounds
TT_MATCH,	ME/PS matching
TT_SCALE,	$Q^{2}$ scale
LUMI,		Luminosity
Lumi,		Luminosity
TT_CR_ALL,  Color reconnection
ST_MESCALE, tW ME scale
TT_MESCALE, $t\bar{t}$ ME scale
DYSCALE, DY ME scale
TT_TTTUNE, UE tune
TT_BRANCH, B-hadron BR
TT_FRAG,  fragmentation
TT_FRAG_PETERSON,  fragm. Peterson
TT_BFRAG, B-Fragmentation
TT_FSRSCALE, $t\bar{t}$ FSR scale
TT_ISRSCALE, $t\bar{t}$ ISR scale
ST_FSRSCALE, tW FSR scale
ST_ISRSCALE, tW ISR scale
TOPMASS, $m_{t}^{MC}$
Xsec, $\sigma_{t\bar{t}}$

BTAGH_bfragmentation, b-tag: b fragmentation
BTAGH_btempcorr, b-tag: b template correction
BTAGH_cb, b-tag: JP correction
BTAGH_cfragmentation, b-tag: c fragmentation
BTAGH_dmux, b-tag: $D \to \mu X$ BR
BTAGH_gluonsplitting, b-tag: gluon splitting 
BTAGH_jes, b-tag: JES
BTAGH_jetaway, b-tag: away jet tag
BTAGH_ksl, b-tag: $K_s^0$ ($\Lambda$) production
BTAGH_l2c, b-tag: light to c ratio
BTAGH_ltothers, b-tag: LT others
BTAGH_mudr, b-tag: muon $\DeltaR$
BTAGH_mupt, b-tag: muon $p_T$
BTAGH_sampledependence, b-tag: sample dependence
BTAGH_ptrel, b-tag: muon $p_T$ rel
BTAGH_statistic, b-tag: statistical


TT_CRERD, CR ERD on
TT_CRQCD, CR QCD-inspired
TT_CRGLUON, CR Gluon move

DY_GEN, DY generator

LEPIDISO,   Lepton ID/isolation
LES,        Lepton energy scale

JEC_residuals,          JES: Residual corrections

JES_AbsoluteMPFBias,			JES: MPF
JES_RelativeFSR, 	    JES: Intercalibration
JES_CorrelationGroupbJES,				JES: b-JES
JES_Flavor,				JES: Flavor response
JES_Uncorrelated,		JES: Uncorrelated
JES_PileupPt,           JES: Pileup
JES_Fragmentation, JES: Fragmentation
JES_PileUpPtEC1, JES: PileUp $p_T$ EC1
JES_PileUpPtRef, JES: PileUp $p_T$ Ref
JES_RelativeBal, JES: Relative Balance
JES_RelativeStatEC, JES: Relative Stat EC
JES_RelativeStatFSR, JES: Relative Stat FSR
JES_TimePtEta, JES: Time $p_T$ $\eta$


JES_AbsoluteScale , JES: Absolute Scale
JES_AbsoluteStat , JES: Absolute Stat
JES_HighPtExtra , JES: High $p_T$ Extra
JES_PileUpBias , JES: Pileup Bias
JES_PileUpDataMC , JES: Pileup Data/MC
JES_PileUpPtBB , JES: Pileup $p_T$ BB
JES_PileUpPtEC , JES: Pileup $p_T$ EC
JES_PileUpPtHF , JES: Pileup $p_T$ HF
JES_RelativeJEREC1 , JES: Relative JER EC1
bJES_RelativeJEREC2 , JES: Relative JER EC2
JES_RelativeJERHF , JES: Relative JER HF
JES_RelativePtBB , JES: Relative $p_T$ BB
JES_RelativePtEC1 , JES: Relative $p_T$ EC1
JES_RelativePtEC2 , JES: Relative $p_T$ EC2
JES_RelativePtHF , JES: Relative $p_T$ HF
JES_RelativeStatEC2 , JES: Relative Stat EC2
JES_RelativeStatHF , JES: Relative Stat HF 
JES_SinglePionECAL , JES: Single pion ECAL
JES_SinglePionHCAL , JES: Single pion HCAL
JES_Time , JES: Time
JES_FlavorPureBottom, JES: Flavor ($b$)
JES_FlavorPureQuark,  JES: Flavor ($uds$)
JES_FlavorPureGluon,  JES: Flavor ($g$)
JES_FlavorPureCharm,  JES: Flavor ($c$)

JES, Jet energy scale

Hadro_JES, Hadronization (JES)

UE, 	Underlying event
CR,		Color reconnection 

TT_BJESNUDEC,   B-hadron $\nu$ decay fraction
TT_BJESRETUNE,  b-fragmentation tune
TT_GENPOWPY,    MG+PY $\rightarrow$ PH+PY
TT_GENMCATNLO,  NLO generator 

BG_tW/#bar{t}W#rightarrowll, Single top background
BG_tW/#bar{t}W, tW background
BG_VV, Diboson background
BG_t#bar{t}bg, $t\bar{t}$ background
BG_Wjets,  W+jets background
BG_QCD, QCD background
BG_t#bar{t}V/#gamma, $t\bar{t}+V/\gamma$ background
BG_t#bar{t}V, $t\bar{t}+V$ background

BG_0_bjets_DY, DY background (0 b-jets)
BG_1_bjets_DY, DY background (1 b-jets)
BG_2_bjets_DY, DY background (2 b-jets)
BG_DY, DY background

BG_0_addjets_DY, DY background (0 add. jets)
BG_1_addjets_DY, DY background (1 add. jets)
BG_2_addjets_DY, DY background (2 add. jets)
BG_3_addjets_DY, DY background (3 add. jets)

KinReco_mtt1, Kin Reco ($\mu_1$)
KinReco_mtt2, Kin Reco ($\mu_2$)
KinReco_mtt3, Kin Reco ($\mu_3$)
KinReco_mtt4, Kin Reco ($\mu_4$)

KinReco_0btags, Kin Reco 0 b-jets
KinReco_1btags, Kin Reco 1 b-jets
KinReco_2btags, Kin Reco 2 b-jets

BG_mtt1, Kin Reco bkg mtt reco bin 1
BG_mtt2, Kin Reco bkg mtt reco bin 2
BG_mtt3, Kin Reco bkg mtt reco bin 3
BG_mtt4, Kin Reco bkg mtt reco bin 4

KIN_RECO_SIG, Kinematic reconstruction signals
KIN_RECO_BG, Kinematic reconstruction backgrounds


Xsec_8TeV, $\sigma_{t\bar{t}}$(8 TeV)
Xsec_7TeV, $\sigma_{t\bar{t}}$(7 TeV)
Xsec_13TeV, $\sigma_{t\bar{t}}$(13 TeV)

Xsec_13TeV1, $\sigma_{t\bar{t}}^{(\mu_1)}$
Xsec_13TeV2, $\sigma_{t\bar{t}}^{(\mu_2)}$
Xsec_13TeV3, $\sigma_{t\bar{t}}^{(\mu_3)}$
Xsec_13TeV4, $\sigma_{t\bar{t}}^{(\mu_4)}$

[end-syst names]
